time_stamp,temp_st,temp_supply,temp_return
3447,140,88.3824286621992,138.35780599331446
3448,140,88.3824286621992,138.4424775322471
3449,140,88.3824286621992,138.4424775322471
3450,140,88.3824286621992,138.61209234738348
3451,140,88.33179163222954,138.78207101793862
3452,140,88.2811725078512,138.6970360848983
3453,140,88.33179163222954,138.78207101793862
3454,140,88.33179163222954,138.86719737919555
3455,140,88.33179163222954,138.95241540218174
3456,140,88.33179163222954,138.95241540218174
3457,140,88.4330836328921,139.2942088106255
3458,140,88.33179163222954,139.2086217890388
3459,140,88.3824286621992,139.1231273715204
3460,140,88.4330836328921,139.2086217890388
3461,140,88.3824286621992,139.2942088106255
3462,140,88.3824286621992,139.2942088106255
3463,140,88.48375657949222,139.37988867395728
3464,140,88.3824286621992,139.55152788079084
3465,140,88.48375657949222,139.55152788079084
3466,140,88.48375657949222,139.37988867395728
3467,140,88.4330836328921,139.46566161755578
3468,140,88.4330836328921,139.46566161755578
3469,140,88.3824286621992,139.2942088106255
3470,140,88.33179163222954,139.2942088106255
3471,140,88.33179163222954,139.2942088106255
3472,140,88.3824286621992,139.37988867395728
3473,140,88.3824286621992,139.55152788079084
3474,140,88.3824286621992,139.63748770388543
3475,140,88.3824286621992,139.55152788079084
3476,140,88.48375657949222,139.63748770388543
3477,140,88.53444753723517,139.8959309474311
3478,140,88.53444753723517,139.80968899483264
3479,140,88.58515654140889,139.8959309474311
3480,140,88.63588362735362,139.8959309474311
3481,140,88.6866288304621,140.24184650128802
3482,140,88.78817373000373,140.24184650128802
3483,140,88.73739218617938,140.41537636953717
3484,140,88.6866288304621,140.50228519400918
3485,140,88.73739218617938,140.50228519400918
3486,140,88.6866288304621,140.67639187302927
3487,140,88.6866288304621,140.67639187302927
3488,140,88.63588362735362,140.7635902300412
3489,140,88.63588362735362,140.85088560188012
3490,140,88.63588362735362,141.02576840501234
3491,140,88.73739218617938,141.02576840501234
3492,140,88.73739218617938,141.02576840501234
3493,140,88.6866288304621,141.11335634609793
3494,140,88.63588362735362,141.11335634609793
3495,140,88.63588362735362,141.28882658875239
3496,140,88.6866288304621,141.37670940570337
3497,140,88.6866288304621,141.37670940570337
3498,140,88.73739218617938,141.7292313678411
3499,140,88.73739218617938,141.6409517511479
3500,140,88.78817373000373,141.55277172637426
3501,140,88.83897349748602,141.55277172637426
3502,140,88.78817373000373,141.55277172637426
3503,140,88.83897349748602,141.4646910315604
3504,140,88.78817373000373,141.4646910315604
3505,140,88.83897349748602,141.37670940570337
3506,140,88.88979152423019,141.37670940570337
3507,140,88.88979152423019,141.37670940570337
3508,140,88.88979152423019,141.28882658875239
3509,140,88.88979152423019,141.20104232160386
3510,140,88.94062784589349,141.20104232160386
3511,140,88.94062784589349,141.28882658875239
3512,140,88.99148249818629,141.28882658875239
3513,140,88.99148249818629,141.20104232160386
3514,140,88.99148249818629,141.37670940570337
3515,140,89.0423555168731,141.37670940570337
3516,140,88.99148249818629,141.4646910315604
3517,140,89.0423555168731,141.37670940570337
3518,140,89.0423555168731,141.4646910315604
3519,140,89.0423555168731,141.37670940570337
3520,140,89.0423555168731,141.55277172637426
3521,140,88.99148249818629,141.55277172637426
3522,140,89.0423555168731,141.55277172637426
3523,140,88.99148249818629,141.4646910315604
3524,140,89.0423555168731,141.4646910315604
3525,140,89.0423555168731,141.4646910315604
3526,140,88.99148249818629,141.4646910315604
3527,140,89.0423555168731,141.37670940570337
3528,140,88.99148249818629,141.28882658875239
3529,140,88.94062784589349,141.37670940570337
3530,140,88.94062784589349,141.37670940570337
3531,140,88.94062784589349,141.37670940570337
3532,140,88.88979152423019,141.37670940570337
3533,140,88.88979152423019,141.37670940570337
3534,140,88.88979152423019,141.37670940570337
3535,140,88.94062784589349,141.28882658875239
3536,140,88.94062784589349,141.28882658875239
3537,140,88.94062784589349,141.11335634609793
3538,140,88.94062784589349,141.20104232160386
3539,140,88.99148249818629,141.11335634609793
3540,140,88.99148249818629,141.20104232160386
3541,140,88.99148249818629,141.11335634609793
3542,140,89.0423555168731,141.02576840501234
3543,140,89.0423555168731,141.20104232160386
3544,140,88.99148249818629,141.20104232160386
3545,140,88.99148249818629,141.20104232160386
3546,140,88.94062784589349,141.28882658875239
3547,140,88.94062784589349,141.28882658875239
3548,140,88.99148249818629,141.20104232160386
3549,140,88.99148249818629,141.02576840501234
3550,140,88.99148249818629,140.85088560188012
3551,140,89.0423555168731,140.67639187302927
3552,140,89.0423555168731,140.58929027824706
3553,140,88.99148249818629,140.58929027824706
3554,140,89.0423555168731,140.50228519400918
3555,140,89.0423555168731,140.41537636953717
3556,140,89.0423555168731,140.24184650128802
3557,140,89.0423555168731,140.24184650128802
3558,140,89.0423555168731,140.41537636953717
3559,140,89.0932469377714,140.32856355495562
3560,140,89.0423555168731,140.24184650128802
3561,140,89.0932469377714,140.32856355495562
3562,140,89.0932469377714,140.15522496045173
3563,140,89.0932469377714,140.06869868525428
3564,140,89.0932469377714,140.24184650128802
3565,140,89.14415679675292,140.15522496045173
3566,140,89.14415679675292,140.06869868525428
3567,140,89.0932469377714,139.80968899483264
3568,140,89.14415679675292,139.80968899483264
3569,140,89.19508512974329,139.46566161755578
3570,140,89.19508512974329,139.2942088106255
3571,140,89.14415679675292,139.2086217890388
3572,140,89.2460319727222,139.03772532123452
3573,140,89.19508512974329,138.86719737919555
3574,140,89.19508512974329,138.78207101793862
3575,140,89.2460319727222,138.6970360848983
3576,140,89.29699736172392,138.61209234738348
3577,140,89.29699736172392,138.61209234738348
3578,140,89.14415679675292,138.52723957351986
3579,140,89.2460319727222,138.4424775322471
3580,140,89.2460319727222,138.4424775322471
3581,140,89.19508512974329,138.27322472727695
3582,140,89.2460319727222,138.18873350549194
3583,140,89.2460319727222,138.35780599331446
3584,140,89.2460319727222,138.27322472727695
3585,140,89.29699736172392,138.35780599331446
3586,140,89.2460319727222,138.52723957351986
3587,140,89.29699736172392,138.4424775322471
3588,140,89.2460319727222,138.4424775322471
3589,140,89.2460319727222,138.35780599331446
3590,140,89.29699736172392,138.35780599331446
3591,140,89.2460319727222,138.35780599331446
3592,140,89.29699736172392,138.4424775322471
3593,140,89.3479813328369,138.35780599331446
3594,140,89.3479813328369,138.27322472727695
3595,140,89.29699736172392,138.35780599331446
3596,140,89.29699736172392,138.27322472727695
3597,140,89.2460319727222,138.35780599331446
3598,140,89.2460319727222,138.35780599331446
3599,140,89.2460319727222,138.52723957351986
3600,140,89.29699736172392,138.61209234738348
3601,140,89.29699736172392,138.61209234738348
3602,140,89.3479813328369,138.61209234738348
3603,140,89.2460319727222,138.61209234738348
3604,140,89.3479813328369,138.78207101793862
3605,140,89.3479813328369,138.61209234738348
3606,140,89.3479813328369,138.78207101793862
3607,140,89.3479813328369,138.52723957351986
3608,140,89.29699736172392,138.6970360848983
3609,140,89.3479813328369,138.6970360848983
3610,140,89.3479813328369,138.6970360848983
3611,140,89.3479813328369,138.6970360848983
3612,140,89.29699736172392,138.95241540218174
3613,140,89.29699736172392,139.03772532123452
3614,140,89.2460319727222,139.1231273715204
3615,140,89.3479813328369,139.2086217890388
3616,140,89.2460319727222,139.37988867395728
3617,140,89.2460319727222,139.55152788079084
3618,140,89.29699736172392,139.72354132791924
3619,140,89.3479813328369,139.8959309474311
3620,140,89.3479813328369,139.8959309474311
3621,140,89.29699736172392,140.15522496045173
3622,140,89.3479813328369,140.24184650128802
3623,140,89.3479813328369,140.32856355495562
3624,140,89.3479813328369,140.41537636953717
3625,140,89.39898392220454,140.41537636953717
3626,140,89.4500051660245,140.58929027824706
3627,140,89.39898392220454,140.67639187302927
3628,140,89.39898392220454,140.7635902300412
3629,140,89.39898392220454,140.85088560188012
3630,140,89.3479813328369,140.93827824205925
3631,140,89.39898392220454,141.11335634609793
3632,140,89.3479813328369,141.02576840501234
3633,140,89.3479813328369,141.02576840501234
3634,140,89.29699736172392,141.11335634609793
3635,140,89.39898392220454,141.20104232160386
3636,140,89.3479813328369,141.37670940570337
3637,140,89.39898392220454,141.4646910315604
3638,140,89.39898392220454,141.6409517511479
3639,140,89.4500051660245,141.6409517511479
3640,140,89.4500051660245,141.7292313678411
3641,140,89.50104510055007,141.9946704034876
3642,140,89.50104510055007,141.90609042963797
3643,140,89.55210376208896,142.0833510267581
3644,140,89.55210376208896,142.1721325662641
3645,140,89.55210376208896,142.1721325662641
3646,140,89.50104510055007,142.3499994661716
3647,140,89.60318118700482,142.3499994661716
3648,140,89.55210376208896,142.3499994661716
3649,140,89.50104510055007,142.3499994661716
3650,140,89.50104510055007,142.4390853651479
3651,140,89.50104510055007,142.52827325751855
3652,140,89.4500051660245,142.4390853651479
3653,140,89.4500051660245,142.4390853651479
3654,140,89.55210376208896,142.3499994661716
3655,140,89.50104510055007,142.26101528980521
3656,140,89.55210376208896,142.3499994661716
3657,140,89.50104510055007,142.26101528980521
3658,140,89.50104510055007,142.1721325662641
3659,140,89.50104510055007,142.1721325662641
3660,140,89.55210376208896,142.1721325662641
3661,140,89.60318118700482,142.26101528980521
3662,140,89.60318118700482,142.26101528980521
3663,140,89.60318118700482,142.26101528980521
3664,140,89.65427741171618,142.1721325662641
3665,140,89.65427741171618,142.1721325662641
3666,140,89.70539247269761,142.26101528980521
3667,140,89.70539247269761,142.1721325662641
3668,140,89.80767924964636,142.26101528980521
3669,140,89.75652640647891,142.26101528980521
3670,140,89.85885103884206,142.0833510267581
3671,140,89.85885103884206,142.0833510267581
3672,140,89.85885103884206,141.9946704034876
3673,140,89.9100418107642,141.9946704034876
3674,140,89.85885103884206,141.9946704034876
3675,140,89.9612516021677,141.90609042963797
3676,140,89.9612516021677,141.90609042963797
3677,140,89.9612516021677,141.90609042963797
3678,140,89.9612516021677,141.90609042963797
3679,140,89.9612516021677,141.81761083937533
3680,140,89.9100418107642,141.81761083937533
3681,140,89.9100418107642,141.81761083937533
3682,140,89.9612516021677,141.9946704034876
3683,140,90.01248044986377,141.81761083937533
3684,140,90.01248044986377,141.81761083937533
3685,140,90.06372839072051,141.7292313678411
3686,140,90.06372839072051,141.7292313678411
3687,140,90.11499546166301,141.6409517511479
3688,140,90.11499546166301,141.6409517511479
3689,140,90.16628169967314,141.55277172637426
3690,140,90.21758714179026,141.37670940570337
3691,140,90.16628169967314,141.20104232160386
3692,140,90.16628169967314,141.20104232160386
3693,140,90.21758714179026,141.02576840501234
3694,140,90.16628169967314,140.93827824205925
3695,140,90.16628169967314,140.7635902300412
3696,140,90.16628169967314,140.58929027824706
3697,140,90.16628169967314,140.41537636953717
3698,140,90.21758714179026,140.24184650128802
3699,140,90.16628169967314,139.98226742938903
3700,140,90.21758714179026,139.8959309474311
3701,140,90.21758714179026,139.80968899483264
3702,140,90.21758714179026,139.63748770388543
3703,140,90.21758714179026,139.63748770388543
3704,140,90.21758714179026,139.46566161755578
3705,140,90.26891182511105,139.46566161755578
3706,140,90.21758714179026,139.37988867395728
3707,140,90.21758714179026,139.2942088106255
3708,140,90.21758714179026,139.37988867395728
3709,140,90.26891182511105,139.2942088106255
3710,140,90.16628169967314,139.2942088106255
3711,140,90.21758714179026,139.1231273715204
3712,140,90.16628169967314,139.03772532123452
3713,140,90.11499546166301,139.03772532123452
3714,140,90.11499546166301,138.95241540218174
3715,140,90.01248044986377,138.86719737919555
3716,140,90.01248044986377,138.86719737919555
3717,140,90.01248044986377,138.78207101793862
3718,140,90.01248044986377,138.78207101793862
3719,140,90.06372839072051,138.6970360848983
3720,140,90.11499546166301,138.52723957351986
3721,140,90.11499546166301,138.52723957351986
3722,140,90.01248044986377,138.35780599331446
3723,140,90.11499546166301,138.18873350549194
3724,140,90.11499546166301,138.10433210011507
3725,140,90.06372839072051,137.93579783117906
3726,140,90.11499546166301,137.85166451589012
3727,140,90.06372839072051,137.85166451589012
3728,140,90.06372839072051,137.7676201135427
3729,140,90.06372839072051,137.68366440022953
3730,140,90.06372839072051,137.5997971528197
3731,140,90.06372839072051,137.5997971528197
3732,140,90.06372839072051,137.51601814895537
3733,140,90.06372839072051,137.51601814895537
3734,140,90.11499546166301,137.43232716704767
3735,140,90.16628169967314,137.26520838657356
3736,140,90.21758714179026,137.18178014864458
3737,140,90.21758714179026,137.09843905394047
3738,140,90.26891182511105,137.18178014864458
3739,140,90.16628169967314,137.18178014864458
3740,140,90.16628169967314,137.18178014864458
3741,140,90.21758714179026,137.26520838657356
3742,140,90.16628169967314,137.34872398627402
3743,140,90.21758714179026,137.26520838657356
3744,140,90.16628169967314,137.26520838657356
3745,140,90.21758714179026,137.34872398627402
3746,140,90.21758714179026,137.43232716704767
3747,140,90.16628169967314,137.26520838657356
3748,140,90.3202557867898,137.34872398627402
3749,140,90.21758714179026,137.34872398627402
3750,140,90.26891182511105,137.34872398627402
3751,140,90.26891182511105,137.34872398627402
3752,140,90.26891182511105,137.34872398627402
3753,140,90.3202557867898,137.43232716704767
3754,140,90.42300169412694,137.5997971528197
3755,140,90.3716190640385,137.51601814895537
3756,140,90.47440371438324,137.5997971528197
3757,140,90.47440371438324,137.68366440022953
3758,140,90.47440371438324,137.68366440022953
3759,140,90.52582516219351,137.85166451589012
3760,140,90.52582516219351,137.93579783117906
3761,140,90.52582516219351,138.27322472727695
3762,140,90.52582516219351,138.4424775322471
3763,140,90.57726607500236,138.4424775322471
3764,140,90.57726607500236,138.52723957351986
3765,140,90.57726607500236,138.61209234738348
3766,140,90.57726607500236,138.6970360848983
3767,140,90.57726607500236,138.78207101793862
3768,140,90.52582516219351,138.86719737919555
3769,140,90.57726607500236,138.86719737919555
3770,140,90.62872649031303,138.95241540218174
3771,140,90.62872649031303,139.03772532123452
3772,140,90.62872649031303,139.1231273715204
3773,140,90.62872649031303,139.1231273715204
3774,140,90.62872649031303,139.2086217890388
3775,140,90.62872649031303,139.2942088106255
3776,140,90.68020644568745,139.2942088106255
3777,140,90.68020644568745,139.37988867395728
3778,140,90.68020644568745,139.46566161755578
3779,140,90.68020644568745,139.55152788079084
3780,140,90.68020644568745,139.63748770388543
3781,140,90.78322512717028,139.63748770388543
3782,140,90.73170597874656,139.72354132791924
3783,140,90.78322512717028,139.80968899483264
3784,140,90.78322512717028,139.80968899483264
3785,140,90.73170597874656,139.98226742938903
3786,140,90.78322512717028,139.8959309474311
3787,140,90.73170597874656,139.98226742938903
3788,140,90.68020644568745,139.98226742938903
3789,140,90.68020644568745,140.06869868525428
3790,140,90.62872649031303,140.24184650128802
3791,140,90.68020644568745,140.32856355495562
3792,140,90.68020644568745,140.41537636953717
3793,140,90.68020644568745,140.50228519400918
3794,140,90.73170597874656,140.58929027824706
3795,140,90.78322512717028,140.85088560188012
3796,140,90.73170597874656,140.7635902300412
3797,140,90.78322512717028,140.85088560188012
3798,140,90.78322512717028,140.85088560188012
3799,140,90.78322512717028,141.11335634609793
3800,140,90.78322512717028,141.11335634609793
3801,140,90.83476392869801,141.11335634609793
3802,140,90.83476392869801,141.20104232160386
3803,140,90.83476392869801,141.11335634609793
3804,140,90.88632242112826,141.11335634609793
3805,140,90.83476392869801,141.20104232160386
3806,140,90.93790064231933,141.20104232160386
3807,140,90.93790064231933,141.20104232160386
3808,140,90.93790064231933,141.37670940570337
3809,140,90.93790064231933,141.20104232160386
3810,140,90.98949863018953,141.28882658875239
3811,140,90.93790064231933,141.37670940570337
3812,140,90.93790064231933,141.20104232160386
3813,140,90.93790064231933,141.37670940570337
3814,140,90.93790064231933,141.37670940570337
3815,140,90.83476392869801,141.4646910315604
3816,140,90.88632242112826,141.4646910315604
3817,140,90.83476392869801,141.4646910315604
3818,140,90.83476392869801,141.28882658875239
3819,140,90.73170597874656,141.28882658875239
3820,140,90.78322512717028,141.11335634609793
3821,140,90.68020644568745,141.02576840501234
3822,140,90.62872649031303,140.93827824205925
3823,140,90.68020644568745,140.85088560188012
3824,140,90.52582516219351,140.7635902300412
3825,140,90.62872649031303,140.67639187302927
3826,140,90.52582516219351,140.58929027824706
3827,140,90.47440371438324,140.50228519400918
3828,140,90.42300169412694,140.32856355495562
3829,140,90.47440371438324,140.50228519400918
3830,140,90.42300169412694,140.41537636953717
3831,140,90.47440371438324,140.32856355495562
3832,140,90.42300169412694,140.32856355495562
3833,140,90.42300169412694,140.24184650128802
3834,140,90.42300169412694,140.32856355495562
3835,140,90.3202557867898,140.24184650128802
3836,140,90.3202557867898,140.15522496045173
